*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Apr 11 00:05:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.3050 TDB
Stop  time      : A.D. 2026-Apr-10 23:50:22.8580 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461132.582318345, A.D. 2026-Apr-02 01:58:32.3050, -3.846809332207590E+05, -8.076526952395024E+04, -1.969334484664233E+04,  1.710583289712551E-01, -9.864550382202943E-01, -7.741784031179927E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2461132.585790567, A.D. 2026-Apr-02 02:03:32.3050, -3.846295025151299E+05, -8.106118224117564E+04, -1.971656429560976E+04,  1.718130133511235E-01, -9.862963139778743E-01, -7.737847899094380E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2461132.589262790, A.D. 2026-Apr-02 02:08:32.3050, -3.845778454298918E+05, -8.135704725476392E+04, -1.973977192975029E+04,  1.725675262965333E-01, -9.861370140050989E-01, -7.733907480426661E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2461132.592735012, A.D. 2026-Apr-02 02:13:32.3050, -3.845259620165365E+05, -8.165286439202525E+04, -1.976296773620885E+04,  1.733218673970975E-01, -9.859771384976024E-01, -7.729962778277422E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2461132.596207234, A.D. 2026-Apr-02 02:18:32.3050, -3.844738523266791E+05, -8.194863348032860E+04, -1.978615170213958E+04,  1.740760362426793E-01, -9.858166876512907E-01, -7.726013795748876E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2461132.599679456, A.D. 2026-Apr-02 02:23:32.3050, -3.844215164120574E+05, -8.224435434710175E+04, -1.980932381470605E+04,  1.748300324233919E-01, -9.856556616623439E-01, -7.722060535944580E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2461132.603151678, A.D. 2026-Apr-02 02:28:32.3050, -3.843689543245324E+05, -8.254002681983137E+04, -1.983248406108107E+04,  1.755838555295993E-01, -9.854940607272136E-01, -7.718103001969578E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2461132.606623901, A.D. 2026-Apr-02 02:33:32.3050, -3.843161661160880E+05, -8.283565072606313E+04, -1.985563242844682E+04,  1.763375051519160E-01, -9.853318850426233E-01, -7.714141196930369E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2461132.610096123, A.D. 2026-Apr-02 02:38:32.3050, -3.842631518388306E+05, -8.313122589340170E+04, -1.987876890399470E+04,  1.770909808812065E-01, -9.851691348055678E-01, -7.710175123934959E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2461132.613568345, A.D. 2026-Apr-02 02:43:32.3050, -3.842099115449895E+05, -8.342675214951097E+04, -1.990189347492556E+04,  1.778442823085870E-01, -9.850058102133138E-01, -7.706204786092702E-02,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
